transcript_id	counts	Gene
ENST00000556793.1	26	ENSG00000100628.12
ENST00000589669.1	30	ENSG00000104957.14
ENST00000515036.1	37	ENSG00000050730.16
ENST00000459725.1	73	ENSG00000234498.3
ENST00000435914.1	386	ENSG00000228089.1
ENST00000467622.2	23	ENSG00000111229.16
ENST00000457383.1	96	ENSG00000230001.1
ENST00000514294.2	29	ENSG00000246100.5
ENST00000607934.1	49	ENSG00000273300.1
ENST00000544679.1	50	ENSG00000139180.11
ENST00000399720.4	60	ENSG00000248583.1
ENST00000699344.1	36	ENSG00000116044.17
ENST00000536425.1	261	ENSG00000256393.1
ENST00000457998.2	7	ENSG00000233006.8
ENST00000535842.6	20	ENSG00000131044.19
ENST00000526695.5	20	ENSG00000251364.9
ENST00000641822.1	100	ENSG00000169327.5
ENST00000488358.1	42	ENSG00000163075.13
ENST00000565279.5	7	ENSG00000103168.17
ENST00000420468.6	130	ENSG00000134443.10
ENST00000460885.5	3	ENSG00000114698.15
ENST00000645816.1	8	ENSG00000175354.20
ENST00000484981.1	4	ENSG00000136068.16
ENST00000538491.1	20	ENSG00000138382.15
ENST00000690278.2	51	ENSG00000289183.2
ENST00000461747.2	38	ENSG00000244400.2
ENST00000493439.1	45	ENSG00000160404.18
ENST00000466879.5	10	ENSG00000231852.9
ENST00000502205.2	150	ENSG00000246422.2
ENST00000547527.2	82	ENSG00000258278.2
ENST00000445983.5	33	ENSG00000125931.11
ENST00000514317.1	52	ENSG00000164294.14
ENST00000568526.1	155	ENSG00000261427.6
ENST00000369442.3	15	ENSG00000196505.11
ENST00000529891.1	62	ENSG00000255381.1
ENST00000569551.6	7	ENSG00000129636.13
ENST00000579107.1	62	ENSG00000257381.3
ENST00000408532.1	102	ENSG00000221459.1
ENST00000226444.4	44	ENSG00000109193.12
ENST00000420269.1	172	ENSG00000236272.1
ENST00000661670.1	180	ENSG00000287143.1
ENST00000580193.1	32	ENSG00000264570.1
ENST00000367078.8	5	ENSG00000123843.13
ENST00000507522.1	6	ENSG00000073578.18
ENST00000367243.7	145	ENSG00000146469.13
ENST00000544341.5	70	ENSG00000120860.11
ENST00000606432.1	59	ENSG00000272217.1
ENST00000397972.2	232	ENSG00000214268.2
ENST00000541346.1	14	ENSG00000089693.11
ENST00000507513.1	4	ENSG00000087206.17
ENST00000397983.7	53	ENSG00000076984.18
ENST00000390394.3	128	ENSG00000211747.3
ENST00000695046.1	12	ENSG00000137409.21
ENST00000677721.1	17	ENSG00000110080.20
ENST00000687402.2	66	ENSG00000228541.3
ENST00000378099.7	12	ENSG00000196511.15
ENST00000636979.1	137	ENSG00000283672.1
ENST00000445109.1	140	ENSG00000232238.1
ENST00000514756.1	13	ENSG00000138764.15
ENST00000550699.6	46	ENSG00000135506.17
ENST00000458092.5	20	ENSG00000058668.15
ENST00000448039.6	7	ENSG00000165238.17
ENST00000658524.1	45	ENSG00000287321.1
ENST00000562685.1	313	ENSG00000260511.1
ENST00000625307.1	37	ENSG00000105926.16
ENST00000481072.1	8	ENSG00000125354.24
ENST00000357896.7	10	ENSG00000109083.14
ENST00000449172.1	103	ENSG00000229338.1
ENST00000692418.2	128	ENSG00000244459.4
ENST00000415935.1	22	ENSG00000181192.12
ENST00000363804.1	128	ENSG00000200674.1
ENST00000485973.1	18	ENSG00000064989.13
ENST00000612914.1	85	ENSG00000278778.1
ENST00000361773.7	13	ENSG00000140682.19
ENST00000699569.1	10	ENSG00000081087.16
ENST00000667059.1	82	ENSG00000286914.1
ENST00000378557.1	2	ENSG00000005238.20
ENST00000563826.2	80	ENSG00000261637.3
ENST00000437736.5	38	ENSG00000159352.16
ENST00000415511.1	3	ENSG00000100330.16
ENST00000469631.1	14	ENSG00000106462.12
ENST00000577988.2	232	ENSG00000265185.6
ENST00000601973.1	25	ENSG00000130749.10
ENST00000577336.1	77	ENSG00000265631.1
ENST00000555693.1	41	ENSG00000258751.2
ENST00000617705.1	165	ENSG00000278848.3
ENST00000561251.5	37	ENSG00000022976.16
ENST00000673748.2	79	ENSG00000286584.3
ENST00000492391.2	2	ENSG00000164610.10
ENST00000480352.1	10	ENSG00000144229.13
ENST00000357776.6	10	ENSG00000167131.17
ENST00000466956.5	19	ENSG00000197150.13
ENST00000616431.2	7	ENSG00000167554.15
ENST00000658301.1	17	ENSG00000232677.11
ENST00000420046.5	38	ENSG00000167930.17
ENST00000304060.10	151	ENSG00000171295.13
ENST00000701818.1	65	ENSG00000289278.2
ENST00000667948.1	7	ENSG00000170919.16
ENST00000568565.2	15	ENSG00000140470.15
ENST00000519076.5	2	ENSG00000104447.13
ENST00000410758.1	218	ENSG00000284239.1
ENST00000577858.2	121	ENSG00000277506.1
ENST00000373093.4	35	ENSG00000163873.10
ENST00000690240.1	38	ENSG00000228288.9
ENST00000556420.5	24	ENSG00000165795.25
ENST00000495948.1	8	ENSG00000049089.15
ENST00000554836.2	47	ENSG00000258488.2
ENST00000454146.1	134	ENSG00000236072.1
ENST00000646142.1	68	ENSG00000284895.1
ENST00000328178.13	41	ENSG00000105750.15
ENST00000413129.1	60	ENSG00000237685.1
ENST00000381217.2	65	ENSG00000205682.2
ENST00000436538.1	114	ENSG00000225724.1
ENST00000418518.2	196	ENSG00000225613.2
ENST00000649919.1	31	ENSG00000104738.19
ENST00000550263.4	178	ENSG00000257605.4
ENST00000478583.1	48	ENSG00000165238.17
ENST00000414949.2	98	ENSG00000214975.4
ENST00000495192.1	5	ENSG00000131149.19
ENST00000487680.1	13	ENSG00000204385.13
ENST00000431392.1	46	ENSG00000183891.6
ENST00000514478.1	42	ENSG00000181789.14
ENST00000611988.1	33	ENSG00000274620.1
ENST00000482131.1	22	ENSG00000146463.12
ENST00000570479.1	12	ENSG00000121064.13
ENST00000474365.1	9	ENSG00000183878.16
ENST00000522664.5	13	ENSG00000197043.15
ENST00000384768.1	150	ENSG00000207499.1
ENST00000263915.8	12	ENSG00000115290.11
ENST00000438180.1	25	ENSG00000131149.19
ENST00000668294.1	4	ENSG00000287277.1
ENST00000403906.8	14	ENSG00000167554.15
ENST00000420241.1	204	ENSG00000233300.1
ENST00000631167.3	17	ENSG00000226674.11
ENST00000643810.1	7	ENSG00000095303.17
ENST00000698644.1	3	ENSG00000134352.21
ENST00000488055.1	8	ENSG00000243943.10
ENST00000701622.1	61	ENSG00000205930.11
ENST00000650736.1	69	ENSG00000197497.11
ENST00000681610.1	26	ENSG00000135297.17
ENST00000390994.1	72	ENSG00000212296.1
ENST00000480468.1	8	ENSG00000160584.17
ENST00000662990.1	20	ENSG00000229739.4
ENST00000389044.8	4	ENSG00000153827.14
ENST00000362448.1	112	ENSG00000199318.1
ENST00000589547.1	5	ENSG00000168259.17
ENST00000542644.1	10	ENSG00000155026.17
ENST00000694870.1	22	ENSG00000161040.18
ENST00000614260.1	218	ENSG00000273872.1
ENST00000625074.1	99	ENSG00000279682.1
ENST00000623855.1	315	ENSG00000280415.1
ENST00000371542.3	175	ENSG00000184709.7
ENST00000592180.1	29	ENSG00000154889.17
ENST00000483339.2	64	ENSG00000151023.17
ENST00000519456.1	24	ENSG00000146090.16
ENST00000634947.1	164	ENSG00000282987.1
ENST00000472685.5	8	ENSG00000059915.17
ENST00000608316.1	68	ENSG00000273113.1
ENST00000363811.1	34	ENSG00000200681.1
ENST00000443674.5	3	ENSG00000145819.18
ENST00000612359.4	2	ENSG00000174501.15
ENST00000487907.1	12	ENSG00000100330.16
ENST00000659465.1	32	ENSG00000228422.5
ENST00000415004.6	3	ENSG00000227155.7
ENST00000614651.1	79	ENSG00000274134.1
ENST00000583386.1	45	ENSG00000264141.1
ENST00000468825.1	12	ENSG00000136237.19
ENST00000471021.1	146	ENSG00000162814.11
ENST00000265074.13	103	ENSG00000113389.16
ENST00000381627.4	49	ENSG00000107014.9
ENST00000528407.1	48	ENSG00000255201.1
ENST00000683855.1	5	ENSG00000130714.19
ENST00000600077.5	14	ENSG00000051128.19
ENST00000547656.1	24	ENSG00000258168.6
ENST00000700353.1	6	ENSG00000160223.18
ENST00000534126.5	17	ENSG00000100557.10
ENST00000531018.5	22	ENSG00000162298.19
ENST00000420213.1	123	ENSG00000237167.1
ENST00000425970.5	62	ENSG00000136895.19
ENST00000270328.8	21	ENSG00000142303.14
ENST00000601003.1	22	ENSG00000090674.16
ENST00000675588.1	13	ENSG00000090861.17
ENST00000486727.1	14	ENSG00000075914.13
ENST00000347404.10	8	ENSG00000049130.16
ENST00000451920.2	385	ENSG00000213724.4
ENST00000562952.1	65	ENSG00000261654.1
ENST00000592794.1	30	ENSG00000123143.13
ENST00000677543.1	24	ENSG00000136888.8
ENST00000415656.1	111	ENSG00000226291.1
ENST00000429967.3	220	ENSG00000171388.12
ENST00000559736.5	2	ENSG00000140471.17
ENST00000544489.5	14	ENSG00000166159.11
ENST00000657821.1	15	ENSG00000240086.7
ENST00000375300.6	8	ENSG00000160584.17
ENST00000661549.1	147	ENSG00000287478.1
ENST00000363625.1	331	ENSG00000200495.1
ENST00000603605.1	107	ENSG00000271364.1
ENST00000458030.3	12	ENSG00000170634.13
ENST00000559577.5	10	ENSG00000140471.17
ENST00000511144.3	154	ENSG00000205879.5
ENST00000378625.5	7	ENSG00000008130.15
ENST00000702350.1	48	ENSG00000288831.2
ENST00000511508.5	18	ENSG00000145147.20
ENST00000363680.1	71	ENSG00000200550.1
ENST00000387449.1	107	ENSG00000210184.1
ENST00000477527.1	29	ENSG00000028839.10
ENST00000624651.1	97	ENSG00000279607.1
ENST00000524412.1	40	ENSG00000270060.1
ENST00000634254.1	65	ENSG00000282924.1
ENST00000561950.1	84	ENSG00000261524.1
ENST00000595534.1	20	ENSG00000197124.12
ENST00000661660.1	153	ENSG00000287538.1
ENST00000586049.3	115	ENSG00000267594.5
ENST00000470766.5	23	ENSG00000176978.14
ENST00000421041.1	138	ENSG00000231227.1
ENST00000547918.2	64	ENSG00000211707.3
ENST00000660170.1	193	ENSG00000286468.1
ENST00000496695.1	42	ENSG00000101935.13
ENST00000558490.5	21	ENSG00000022976.16
ENST00000391031.1	68	ENSG00000212333.1
ENST00000609497.5	126	ENSG00000272894.5
ENST00000425793.1	54	ENSG00000230450.1
ENST00000613026.1	420	ENSG00000275048.1
ENST00000674039.1	13	ENSG00000198945.8
ENST00000471560.1	8	ENSG00000138382.15
ENST00000623828.1	103	ENSG00000279744.1
ENST00000618604.4	6	ENSG00000144711.16
ENST00000622987.1	128	ENSG00000279397.1
ENST00000515228.1	139	ENSG00000249495.1
ENST00000542529.5	18	ENSG00000166159.11
ENST00000571006.5	20	ENSG00000261239.6
ENST00000639209.1	79	ENSG00000279168.2
ENST00000658807.1	79	ENSG00000287108.1
ENST00000453558.1	70	ENSG00000270604.5
ENST00000542313.2	15	ENSG00000177169.10
ENST00000458531.1	280	ENSG00000233303.1
ENST00000663029.1	56	ENSG00000286368.1
ENST00000682646.1	927	ENSG00000069431.14
ENST00000394765.7	79	ENSG00000167671.12
ENST00000479724.3	31	ENSG00000240151.3
ENST00000415248.1	41	ENSG00000186230.7
ENST00000568347.1	7	ENSG00000172831.14
ENST00000394609.6	11	ENSG00000115310.19
ENST00000411601.2	75	ENSG00000248796.1
ENST00000446081.5	52	ENSG00000237675.5
ENST00000458676.1	50	ENSG00000234934.1
ENST00000610220.1	27	ENSG00000272567.1
ENST00000220888.9	2	ENSG00000104447.13
ENST00000406884.6	32	ENSG00000186153.18
ENST00000533206.1	9	ENSG00000168092.14
ENST00000591178.1	16	ENSG00000235779.8
ENST00000537116.5	27	ENSG00000176715.17
ENST00000597986.5	22	ENSG00000130758.8
ENST00000332663.3	343	ENSG00000182974.3
ENST00000467230.1	36	ENSG00000198000.12
ENST00000266594.4	53	ENSG00000139223.4
ENST00000330452.8	27	ENSG00000163932.16
ENST00000609765.1	88	ENSG00000273090.1
ENST00000642014.1	47	ENSG00000172146.4
ENST00000532930.1	79	ENSG00000255159.1
ENST00000567073.2	16	ENSG00000261599.6
ENST00000648386.1	7	ENSG00000144711.16
ENST00000687243.1	8	ENSG00000255717.9
ENST00000594684.1	35	ENSG00000269026.2
ENST00000516134.1	22	ENSG00000251943.1
ENST00000472431.1	47	ENSG00000107672.15
ENST00000668045.1	14	ENSG00000233621.3
ENST00000533581.1	63	ENSG00000084628.10
ENST00000530298.5	2	ENSG00000198400.13
ENST00000600019.5	89	ENSG00000142546.14
ENST00000367959.6	7	ENSG00000132185.18
ENST00000372563.2	27	ENSG00000123561.15
ENST00000461898.1	61	ENSG00000020256.20
ENST00000428178.2	9	ENSG00000237224.4
ENST00000440059.1	22	ENSG00000227408.1
ENST00000550036.1	12	ENSG00000136051.15
ENST00000608729.1	285	ENSG00000272914.1
ENST00000595339.1	148	ENSG00000269130.1
ENST00000365371.1	52	ENSG00000202241.1
ENST00000519499.2	43	ENSG00000285868.1
ENST00000620315.2	3	ENSG00000165732.14
ENST00000673664.1	8	ENSG00000249961.10
ENST00000380822.9	14	ENSG00000085231.14
ENST00000641635.1	9	ENSG00000240405.7
ENST00000677359.1	15	ENSG00000168615.13
ENST00000362710.1	32	ENSG00000199580.1
ENST00000564982.6	9	ENSG00000132604.11
ENST00000684943.1	20	ENSG00000267680.6
ENST00000638120.1	23	ENSG00000157388.20
ENST00000464769.1	3	ENSG00000213533.13
ENST00000531837.2	3	ENSG00000182359.15
ENST00000664778.1	193	ENSG00000236403.2
ENST00000457402.1	60	ENSG00000235407.1
ENST00000430194.1	43	ENSG00000233299.1
ENST00000476309.5	16	ENSG00000177674.16
ENST00000429441.1	94	ENSG00000231164.1
ENST00000517057.1	42	ENSG00000252866.1
ENST00000314721.5	155	ENSG00000181961.5
ENST00000477574.5	6	ENSG00000064225.13
ENST00000309881.11	10	ENSG00000135218.19
ENST00000577536.1	30	ENSG00000150394.14
ENST00000563441.5	7	ENSG00000140400.18
ENST00000686365.2	30	ENSG00000246375.5
ENST00000544393.5	67	ENSG00000139433.11
ENST00000568660.1	103	ENSG00000260082.1
ENST00000616987.5	43	ENSG00000277399.6
ENST00000516095.1	64	ENSG00000251904.1
ENST00000366181.2	165	ENSG00000203356.2
ENST00000516429.1	121	ENSG00000252238.1
ENST00000366505.4	77	ENSG00000176232.10
ENST00000508165.1	223	ENSG00000248191.1
ENST00000439136.2	139	ENSG00000235530.7
ENST00000634247.1	66	ENSG00000283041.1
ENST00000637435.1	80	ENSG00000283240.1
ENST00000610745.5	24	ENSG00000138061.12
ENST00000605789.1	85	ENSG00000271088.1
ENST00000460839.5	4	ENSG00000127241.18
ENST00000532760.1	143	ENSG00000255004.1
ENST00000310512.4	18	ENSG00000146834.15
ENST00000656016.1	91	ENSG00000287467.1
ENST00000608286.1	84	ENSG00000272872.1
ENST00000462251.1	162	ENSG00000197044.11
ENST00000380390.6	92	ENSG00000167346.9
ENST00000404509.2	51	ENSG00000216365.2
ENST00000507391.1	290	ENSG00000248842.1
ENST00000489216.5	31	ENSG00000125354.24
ENST00000449530.2	208	ENSG00000162685.6
ENST00000437518.1	11	ENSG00000143486.16
ENST00000667837.1	64	ENSG00000198690.10
ENST00000504376.6	15	ENSG00000154162.15
ENST00000616116.1	28	ENSG00000275236.1
ENST00000489867.2	21	ENSG00000074800.16
ENST00000687762.2	31	ENSG00000289238.2
ENST00000479191.2	53	ENSG00000178796.13
ENST00000219022.3	207	ENSG00000102837.7
ENST00000602478.1	41	ENSG00000270022.3
ENST00000376483.8	17	ENSG00000137343.18
ENST00000526082.5	19	ENSG00000170325.16
ENST00000679245.1	5	ENSG00000171960.12
ENST00000494164.5	10	ENSG00000163608.15
ENST00000529305.5	23	ENSG00000184608.9
ENST00000450290.1	41	ENSG00000230975.1
ENST00000504330.5	55	ENSG00000109794.14
ENST00000585193.1	167	ENSG00000266473.1
ENST00000344578.8	12	ENSG00000130595.19
ENST00000456871.1	277	ENSG00000237032.1
ENST00000624968.1	28	ENSG00000279720.1
ENST00000441059.5	25	ENSG00000070882.13
ENST00000580335.1	5	ENSG00000150637.9
ENST00000562659.1	20	ENSG00000131149.19
ENST00000669883.1	17	ENSG00000283103.5
ENST00000614927.1	81	ENSG00000254206.6
ENST00000423750.1	30	ENSG00000231593.1
ENST00000413342.1	54	ENSG00000225509.1
ENST00000504190.5	63	ENSG00000174796.12
ENST00000516513.1	82	ENSG00000252322.1
ENST00000572664.1	187	ENSG00000262154.1
ENST00000511669.1	103	ENSG00000163734.4
ENST00000402655.6	43	ENSG00000186153.18
ENST00000689491.1	81	ENSG00000165626.19
ENST00000305494.6	11	ENSG00000166575.17
ENST00000578616.5	91	ENSG00000169660.17
ENST00000581940.2	72	ENSG00000265484.2
ENST00000379253.7	25	ENSG00000130066.17
ENST00000468439.2	195	ENSG00000240890.2
ENST00000343984.5	40	ENSG00000125354.24
ENST00000549359.5	17	ENSG00000258168.6
ENST00000522094.5	76	ENSG00000072571.20
ENST00000490456.6	55	ENSG00000005020.13
ENST00000441759.1	21	ENSG00000234034.1
ENST00000612683.1	10	ENSG00000160752.15
ENST00000459846.6	59	ENSG00000185909.15
ENST00000534220.1	66	ENSG00000143401.15
ENST00000256594.7	27	ENSG00000134202.12
ENST00000443161.1	20	ENSG00000228436.4
ENST00000617245.1	63	ENSG00000276225.1
ENST00000441525.4	137	ENSG00000226372.4
ENST00000462101.1	7	ENSG00000111860.14
ENST00000559055.2	267	ENSG00000176679.9
ENST00000695621.1	7	ENSG00000010671.18
ENST00000568742.1	27	ENSG00000132740.10
ENST00000629380.3	6	ENSG00000197283.18
ENST00000493212.1	22	ENSG00000116793.16
ENST00000527775.1	35	ENSG00000184937.16
ENST00000364713.1	24	ENSG00000201583.1
ENST00000682263.1	2	ENSG00000106462.12
ENST00000498309.1	15	ENSG00000164405.11
ENST00000669899.1	32	ENSG00000244625.7
ENST00000305386.4	152	ENSG00000168282.6
ENST00000666391.1	269	ENSG00000261260.2
ENST00000479141.6	18	ENSG00000122133.17
ENST00000361764.9	97	ENSG00000197568.15
ENST00000566521.1	226	ENSG00000261629.1
ENST00000498308.1	183	ENSG00000273313.1
ENST00000663813.1	70	ENSG00000287637.1
ENST00000614118.1	74	ENSG00000273863.1
ENST00000684878.1	4	ENSG00000269416.7
ENST00000477271.3	97	ENSG00000242638.3
ENST00000669587.1	290	ENSG00000259434.2
ENST00000637199.1	9	ENSG00000243989.9
ENST00000567545.1	247	ENSG00000260757.1
ENST00000550019.1	44	ENSG00000257924.1
ENST00000612930.1	262	ENSG00000182704.8
ENST00000662312.1	10	ENSG00000243089.2
ENST00000495802.5	45	ENSG00000005020.13
ENST00000578297.1	2	ENSG00000136490.9
ENST00000691754.2	26	ENSG00000235092.7
ENST00000434334.1	247	ENSG00000223873.1
ENST00000550202.2	25	ENSG00000135506.17
ENST00000284503.7	120	ENSG00000154328.16
ENST00000612599.4	37	ENSG00000124194.17
ENST00000404107.1	492	ENSG00000220181.1
ENST00000474318.1	34	ENSG00000169905.13
ENST00000471661.5	145	ENSG00000237510.7
ENST00000519119.5	27	ENSG00000104497.15
ENST00000431865.1	79	ENSG00000135537.17
ENST00000412884.1	74	ENSG00000224627.1
ENST00000467334.1	50	ENSG00000090263.16
ENST00000537568.1	10	ENSG00000048540.16
ENST00000619393.1	104	ENSG00000275919.1
ENST00000523269.5	26	ENSG00000249669.12
ENST00000249499.8	175	ENSG00000128709.13
ENST00000399506.9	11	ENSG00000132535.22
ENST00000663193.1	60	ENSG00000286652.1
ENST00000571973.1	84	ENSG00000179314.16
ENST00000483416.1	18	ENSG00000135829.17
ENST00000473703.1	37	ENSG00000176978.14
ENST00000341369.11	4	ENSG00000187514.17
ENST00000438425.1	183	ENSG00000237674.1
ENST00000367179.7	16	ENSG00000198625.14
ENST00000634627.1	23	ENSG00000169519.21
ENST00000584920.3	51	ENSG00000265137.3
ENST00000482420.1	12	ENSG00000178826.11
ENST00000401029.3	53	ENSG00000215874.3
ENST00000362232.1	211	ENSG00000199102.1
ENST00000444315.6	24	ENSG00000011105.14
ENST00000654229.1	15	ENSG00000170919.16
ENST00000600669.1	62	ENSG00000269194.1
ENST00000678452.1	71	ENSG00000164182.12
ENST00000519506.1	19	ENSG00000253103.2
ENST00000516143.1	155	ENSG00000251952.1
ENST00000392806.4	79	ENSG00000183160.9
ENST00000554281.1	12	ENSG00000185100.11
ENST00000486815.5	12	ENSG00000198919.13
ENST00000389394.8	33	ENSG00000115423.19
ENST00000390398.3	38	ENSG00000282499.1
ENST00000493857.1	23	ENSG00000077420.16
ENST00000507199.1	47	ENSG00000188388.10
ENST00000344514.1	98	ENSG00000187612.1
ENST00000251412.8	167	ENSG00000037042.9
ENST00000657123.1	5	ENSG00000166257.10
ENST00000563289.1	155	ENSG00000261154.1
ENST00000606834.1	174	ENSG00000272236.1
ENST00000593517.1	58	ENSG00000227195.11
ENST00000599898.5	16	ENSG00000105640.13
ENST00000647408.1	24	ENSG00000074800.16
ENST00000529320.2	57	ENSG00000134443.10
ENST00000456662.5	13	ENSG00000198563.14
ENST00000518715.2	27	ENSG00000029534.21
ENST00000550669.5	102	ENSG00000165891.16
ENST00000612277.4	14	ENSG00000159267.17
ENST00000701201.1	18	ENSG00000232104.5
ENST00000403106.8	47	ENSG00000171560.17
ENST00000390555.3	17	ENSG00000253755.1
ENST00000426976.1	280	ENSG00000232057.1
ENST00000622571.1	65	ENSG00000274493.1
ENST00000357578.8	61	ENSG00000112294.14
ENST00000426547.1	189	ENSG00000233470.1
ENST00000478193.5	112	ENSG00000166295.9
ENST00000484903.2	126	ENSG00000243986.2
ENST00000590921.1	49	ENSG00000063241.8
ENST00000544836.5	20	ENSG00000185652.12
ENST00000394440.8	46	ENSG00000115484.15
ENST00000263593.8	2	ENSG00000110013.13
ENST00000445696.6	5	ENSG00000090534.20
ENST00000375670.1	56	ENSG00000204393.7
ENST00000620928.1	82	ENSG00000278551.1
ENST00000502784.2	31	ENSG00000249353.2
ENST00000457014.1	31	ENSG00000122133.17
ENST00000497775.2	129	ENSG00000286105.2
ENST00000436137.2	34	ENSG00000110013.13
ENST00000237841.5	152	ENSG00000118976.5
ENST00000539878.5	28	ENSG00000095110.9
ENST00000527155.5	20	ENSG00000066855.16
ENST00000566903.5	9	ENSG00000103168.17
ENST00000650441.1	177	ENSG00000179477.11
ENST00000417794.1	79	ENSG00000223649.1
ENST00000473230.1	21	ENSG00000120158.12
ENST00000697120.1	46	ENSG00000104738.19
ENST00000534972.4	67	ENSG00000184459.10
ENST00000513257.5	21	ENSG00000163743.14
ENST00000579387.5	8	ENSG00000140829.12
ENST00000569853.1	236	ENSG00000259909.1
ENST00000385135.1	174	ENSG00000207870.1
ENST00000413927.5	107	ENSG00000106304.16
ENST00000563277.5	5	ENSG00000128989.11
ENST00000435808.1	268	ENSG00000231060.1
ENST00000551761.1	158	ENSG00000257476.1
ENST00000321777.5	24	ENSG00000176731.12
ENST00000489862.1	21	ENSG00000024526.17
ENST00000582031.1	119	ENSG00000265883.1
ENST00000593174.5	15	ENSG00000104957.14
ENST00000670018.1	4	ENSG00000256499.2
ENST00000380370.1	149	ENSG00000205495.1
ENST00000513390.1	22	ENSG00000112992.18
ENST00000667707.1	11	ENSG00000227619.3
ENST00000396984.2	194	ENSG00000180596.8
ENST00000523866.1	82	ENSG00000164933.12
ENST00000675364.1	7	ENSG00000148356.15
ENST00000365606.1	176	ENSG00000202476.1
ENST00000516459.1	76	ENSG00000252268.1
ENST00000418746.1	7	ENSG00000237803.6
ENST00000670249.1	17	ENSG00000247708.8
ENST00000666182.4	17	ENSG00000232677.11
ENST00000328902.9	13	ENSG00000133561.15
ENST00000449143.2	71	ENSG00000227803.2
ENST00000507181.1	42	ENSG00000250350.1
ENST00000504275.1	12	ENSG00000145725.21
ENST00000478203.1	29	ENSG00000100116.17
ENST00000418690.1	73	ENSG00000234900.1
ENST00000391586.3	271	ENSG00000212899.3
ENST00000450460.5	46	ENSG00000083642.19
ENST00000526230.1	16	ENSG00000116497.18
ENST00000623177.1	131	ENSG00000278949.1
ENST00000495117.2	28	ENSG00000239659.2
ENST00000259746.13	16	ENSG00000137216.19
ENST00000568342.3	16	ENSG00000103018.18
ENST00000569650.1	165	ENSG00000174353.17
ENST00000583483.1	14	ENSG00000150394.14
ENST00000558234.1	23	ENSG00000069667.16
ENST00000562536.2	277	ENSG00000261173.2
ENST00000306908.10	205	ENSG00000171970.14
ENST00000700176.1	32	ENSG00000100479.14
ENST00000436384.5	15	ENSG00000135218.19
ENST00000643650.1	45	ENSG00000165272.16
ENST00000496852.5	14	ENSG00000171953.16
ENST00000701353.1	72	ENSG00000289887.1
ENST00000648154.1	174	ENSG00000223617.2
ENST00000490764.5	43	ENSG00000077044.11
ENST00000357116.4	23	ENSG00000049130.16
ENST00000505092.1	112	ENSG00000251685.3
ENST00000384913.2	160	ENSG00000207645.2
ENST00000435009.2	30	ENSG00000102738.8
ENST00000617417.1	182	ENSG00000276647.1
ENST00000654793.1	20	ENSG00000250814.3
ENST00000638631.1	19	ENSG00000198198.17
ENST00000652716.1	85	ENSG00000204152.14
ENST00000580047.1	109	ENSG00000264999.1
ENST00000677944.1	11	ENSG00000130714.19
ENST00000417507.6	26	ENSG00000185480.12
ENST00000603958.1	130	ENSG00000271691.1
ENST00000607540.1	68	ENSG00000271894.1
ENST00000476081.1	22	ENSG00000242085.1
ENST00000371012.6	45	ENSG00000198160.15
ENST00000422806.2	395	ENSG00000235608.2
ENST00000667762.1	93	ENSG00000253666.4
ENST00000447525.1	26	ENSG00000234108.1
ENST00000541243.1	159	ENSG00000255660.1
ENST00000431784.2	23	ENSG00000230003.2
ENST00000552279.1	16	ENSG00000139266.6
ENST00000509097.1	6	ENSG00000164347.18
ENST00000557891.1	255	ENSG00000259296.1
ENST00000479510.2	5	ENSG00000197283.18
ENST00000552044.1	35	ENSG00000049130.16
ENST00000611300.1	27	ENSG00000274072.1
ENST00000511933.1	23	ENSG00000167085.14
ENST00000701319.1	151	ENSG00000289876.1
ENST00000702370.1	22	ENSG00000235944.10
ENST00000408373.1	95	ENSG00000221300.1
ENST00000504193.1	364	ENSG00000249183.1
ENST00000662888.1	31	ENSG00000249378.8
ENST00000631498.1	26	ENSG00000146122.17
ENST00000308304.2	115	ENSG00000175325.2
ENST00000503359.5	30	ENSG00000156136.10
ENST00000552270.1	13	ENSG00000136010.14
ENST00000563879.2	61	ENSG00000261049.2
ENST00000357367.7	4	ENSG00000182330.11
ENST00000649960.2	10	ENSG00000080910.14
ENST00000447620.5	47	ENSG00000153814.13
ENST00000421495.6	48	ENSG00000127054.22
ENST00000359353.9	2	ENSG00000198231.14
ENST00000428426.2	49	ENSG00000232680.2
ENST00000335585.9	6	ENSG00000074211.14
ENST00000460261.5	28	ENSG00000154222.15
ENST00000368139.6	30	ENSG00000198945.8
ENST00000485313.5	26	ENSG00000113924.12
ENST00000544548.5	4	ENSG00000064102.15
ENST00000492885.1	15	ENSG00000165209.19
ENST00000476421.3	138	ENSG00000239708.3
ENST00000566389.1	4	ENSG00000007516.14
ENST00000393612.8	6	ENSG00000103051.21
ENST00000363803.1	133	ENSG00000200673.1
ENST00000616995.5	63	ENSG00000184304.17
ENST00000482175.5	17	ENSG00000163126.15
ENST00000625860.2	5	ENSG00000196616.14
ENST00000584617.5	24	ENSG00000108384.16
ENST00000568597.5	11	ENSG00000104164.12
ENST00000699466.1	47	ENSG00000134389.11
ENST00000361886.4	277	ENSG00000184599.14
ENST00000448552.7	33	ENSG00000168802.14
ENST00000468701.1	28	ENSG00000243507.1
ENST00000422528.1	15	ENSG00000229905.1
ENST00000384670.1	8	ENSG00000207401.1
ENST00000394078.5	4	ENSG00000174996.12
ENST00000599097.1	13	ENSG00000051128.19
ENST00000541515.3	160	ENSG00000269955.2
ENST00000636110.1	9	ENSG00000117713.21
ENST00000528380.1	12	ENSG00000173120.15
